Report Ending (weekly starting on Sundays),Number of Sessions,Average Session Length,Number of Unique Clients,TB Downloaded,TB Uploaded,Cumulative Bandwidth Utilization To Date (TB),Cumulative Sessions To Date,Cumulative Subscribers To Date,gb_per_session,sessions_per_user,activated_A,activated_B,retained_1w,retained_4w
01/01/2023,3988549,00:23:21,239421,114.15,20.61,28856.39,3142336727,12566911,0.03459760429168602,16.659144352416874,0,0,0.0,0.0
01/02/2022,3866501,00:22:11,228609,95.01,18.04,23785.43,2989904252,10392618,0.02994004139660122,16.913161774033394,0,0,0.0,0.0
01/03/2021,5257965,00:05:52,348002,59.99,5.73,19173.06,2730422565,9317463,0.012799111443305537,15.10900799420693,1,0,0.0,0.0
01/05/2020,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839,0.00592938962792396,33.78911086717893,1,0,0.0,0.0
01/05/2025,3883340,00:32:29,259883,101.23,18.86,47101.87,3667450309,17476570,0.03166659628052141,14.942647268193765,0,0,0.0,0.0
01/07/2024,4835625,00:23:55,309282,141.8,22.95,39009.86,3436693802,14971258,0.034887734263926586,15.635003006964517,1,0,0.0,0.0
01/08/2023,4032283,00:23:12,238876,118.1,19.35,28856.39,3142339574,12606982,0.034905486544471204,16.88023493360572,0,0,0.0,0.0
01/09/2022,3477266,00:22:09,217029,88.87,14.91,23888.92,2993372440,10414111,0.030561573374024306,16.022126075317125,0,0,0.0,1.0
01/10/2021,5546857,00:05:48,347334,63.43,5.53,19242.02,2735969422,9331406,0.012730640072386938,15.969807159679156,1,0,0.0,1.0
01/12/2020,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485,0.0055428662942782906,36.84345542540594,1,0,0.0,0.0
01/12/2025,3565641,00:32:42,233480,98.49,14.96,47215.33,3671015950,17517613,0.0325811824577965,15.271719205071099,0,0,1.0,0.0
01/14/2024,4699333,00:23:50,284171,150.41,22.13,39182.4,3441393135,15004872,0.03759702919541986,16.536990051764608,0,1,1.0,0.0
01/15/2023,3762205,00:23:28,215395,122.75,18.01,28856.39,3142339692,12635792,0.03831217065524074,17.466538220478654,0,1,0.0,0.0
01/16/2022,3345285,00:22:18,206094,91.86,14.67,23995.19,2996708593,10431711,0.0326090960859837,16.231840810503943,0,0,0.0,1.0
01/17/2021,5489486,00:05:57,349506,70.73,5.98,19318.74,2741458908,9345447,0.014309361568642312,15.706414196036691,1,0,0.0,1.0
01/19/2020,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567,0.005818049082117805,37.12411867423635,1,0,0.0,0.0
01/19/2025,3607929,00:32:54,231960,103.62,15.54,47334.49,3674623879,17559425,0.03381991164460276,15.554099844800827,0,0,1.0,0.0
01/21/2024,4232226,00:24:05,273250,142.14,20.36,39344.91,3445625361,15032667,0.039317371047765406,15.488475754803293,0,1,1.0,0.0
01/22/2023,3783569,00:23:10,217628,126.16,18.45,28998.39,3146115890,12666334,0.039137819344645226,17.38548808057787,0,1,0.0,0.0
01/23/2022,3372595,00:22:10,206728,98.68,14.62,24108.14,3000070573,10449897,0.034400572852655006,16.31416644092721,0,0,0.0,1.0
01/24/2021,5380109,00:05:57,345502,66.73,6.22,19391.69,2746839017,9358336,0.013884625757582236,15.571860654931086,1,0,0.0,1.0
01/26/2020,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523,0.00648338096804146,33.59141508416503,1,0,0.0,0.0
01/26/2025,3328676,00:33:13,224670,97.32,14.71,47446.52,3677952555,17597782,0.034463768777736256,14.815845462233497,0,0,1.0,0.0
01/28/2024,4710722,00:24:05,284729,155.97,23.18,39524.05,3450336083,15067447,0.03894299005545222,16.544580987535515,0,1,1.0,0.0
01/29/2023,3886575,00:23:03,220655,124.52,18.13,29140.39,3149994749,12696431,0.037584145423669946,17.613808887176816,0,1,0.0,0.0
01/30/2022,3357235,00:22:16,204380,98.56,14.63,24221.09,3003418699,10466807,0.03452441071298256,16.42643605049418,0,0,0.0,1.0
01/31/2021,5162302,00:06:05,339770,69.18,8.25,19469.12,2752001319,9369957,0.015359101424132104,15.193519145304176,1,0,0.0,1.0
02/02/2020,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640,0.00602909047317867,36.21435293850846,1,0,0.0,0.0
02/02/2025,3646989,00:32:43,234612,105.9,16.05,47568.48,3681599544,17641438,0.03424106845400411,15.54476753107258,0,0,1.0,0.0
